grp,level_1,row,txt_len,end_with_end_sent,end_with_hyphen,start_with_upper,start_with_bullet,line_txt,diff_len_prev,diff_max_len,new_paragraph,prediction,error
1,0,0,5,False,False,True,False,Index,5.0,96,1,1,TP
1,1,1,4,False,False,True,False,Item,-1.0,97,1,1,TP
1,2,2,92,False,False,True,False,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut pulvinar suscipit aliquam. Donec",88.0,9,1,1,TP
1,3,3,15,False,False,True,False,I. Introduction,-77.0,86,1,1,TP
1,4,4,9,False,False,True,False,II. Scope,-6.0,92,1,1,TP
1,5,5,16,False,False,True,False,III. Definitions,7.0,85,1,1,TP
1,6,6,39,False,False,True,False,Principle 1: Lorem ipsum dolor sit amet,23.0,62,1,1,TP
1,7,7,69,False,False,True,False,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut pulvinar ",30.0,32,0,0,TN
1,8,8,18,True,False,False,False, suscipit aliquam.,-51.0,83,0,0,TN
1,9,9,91,False,True,True,False,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut pulvinar suscipit aliquam. Don-",73.0,10,1,1,TP
1,10,10,56,True,False,False,False,ec a convallis justo. Pellentesque molestie ornare elit.,-35.0,45,0,0,TN
1,11,11,5,False,False,True,False,Title,-51.0,96,1,1,TP
1,12,12,50,False,False,True,False,"Lorem ipsum dolor sit amet, consectetur adipiscing",45.0,51,1,1,TP
1,13,13,54,False,False,False,False, elit. Ut pulvinar suscipit aliquam. Donec a convallis,4.0,47,0,0,TN
1,14,14,42,True,False,False,False, justo. Pellentesque molestie ornare elit.,-12.0,59,0,0,TN
1,15,15,15,False,False,True,False,I. Introduction,-27.0,86,1,1,TP
1,16,16,92,False,False,True,False,Fusce congue eget mauris quis malesuada. Integer eget nulla quis purus condimentum tincidunt,77.0,9,1,1,TP
1,17,17,101,False,False,False,False,"exert considerable influence on its capital, liquidity and risk situation. In addition, remuneration ",9.0,0,0,0,TN
1,18,18,95,False,False,False,False, eu quis massa. Nullam quis sollicitudin nulla. Pellentesque eu quam at urna congue lobortis et,-6.0,6,0,0,TN
1,19,19,90,False,False,False,False,ac eros. Cras tempor fringilla ipsum id semper. Etiam lobortis nec sem at aliquet. Aliquam,-5.0,11,0,0,TN
1,20,20,87,False,False,False,False,erat volutpat. Nunc aliquam scelerisque risus non vehicula. Duis placerat commodo massa,-3.0,14,0,0,TN
1,21,21,94,False,True,False,False, non venenatis. Pellentesque malesuada mauris vitae tempus  gravida. Cras porttitor justo ips-,7.0,7,0,0,TN
1,22,22,8,True,False,False,False,"um, et .",-86.0,93,0,0,TN
1,23,23,0,False,False,False,False,,-8.0,101,1,1,TP
1,24,24,58,False,False,True,False,Fusce congue eget mauris quis malesuada. Integer eget null,58.0,43,1,1,TP
1,25,25,63,False,False,False,False,"exert considerable influence on its capital, liquidity and risk",5.0,38,1,1,TP
1,26,26,47,True,False,False,False, eu quis massa. Nullam quis sollicitudin nulla.,-16.0,54,0,0,TN
1,27,27,2,False,False,False,False,3*,-45.0,99,1,1,TP
1,28,28,82,False,False,True,False,Fusce congue eget mauris quis malesuada. Integer eget nulla quis purus condimentum,80.0,19,1,1,TP
1,29,29,93,False,True,False,False,"exert considerable influence on its capital, liquidity and risk situation. In addition, rem- ",11.0,8,0,0,TN
1,30,30,83,False,False,False,False, eu quis massa. Nullam quis sollicitudin nulla. Pellentesque eu quam at urna congue,-10.0,18,0,0,TN
1,31,31,82,True,False,False,False,ac eros. Cras tempor fringilla ipsum id semper. Etiam lobortis nec sem at aliquet.,-1.0,19,0,0,TN
1,32,32,81,False,False,False,False,erat volutpat. Nunc aliquam scelerisque risus non vehicula. Duis placerat commodo,-1.0,20,0,0,TN
1,33,33,83,False,False,False,False, non venenatis. Pellentesque malesuada mauris vitae tempus  gravida. Cras porttitor,2.0,18,0,0,TN
1,34,34,26,True,False,False,False,"um, et Fusce congue eget .",-57.0,75,0,0,TN
1,35,35,92,False,False,True,False,Fusce congue eget mauris quis malesuada. Integer eget nulla quis purus condimentum tincidunt,66.0,9,1,1,TP
1,36,36,95,False,False,False,False, eu quis massa. Nullam quis sollicitudin nulla. Pellentesque eu quam at urna congue lobortis et,3.0,6,0,0,TN
1,37,37,90,False,False,False,False,ac eros. Cras tempor fringilla ipsum id semper. Etiam lobortis nec sem at aliquet. Aliquam,-5.0,11,0,0,TN
1,38,38,17,True,False,False,False,tempor fringilla!,-73.0,84,0,0,TN
2,0,0,22,False,False,True,False,"C. Item a for a and b,",22.0,16,1,1,TP
2,1,1,14,False,False,True,False,"D. Case b,c,d,",-8.0,24,1,1,TP
2,2,2,18,False,False,True,False,E. Specs for xxxxx,4.0,20,1,1,TP
2,3,3,36,False,False,True,False,"F. Requirements Nullam quis solli-‘,",18.0,2,1,1,TP
2,4,4,7,True,False,False,False,citum’.,-29.0,31,0,0,TN
2,5,5,30,False,False,True,False,Fusce congue eget mauris quis ,23.0,8,1,1,TP
2,6,6,29,False,False,False,False,malesuada. Integer eget nulla,-1.0,9,0,0,TN
2,7,7,35,True,False,True,False,Etiam lobortis nec sem at aliquet. ,6.0,3,0,0,TN
2,8,8,0,False,False,False,False,,-35.0,38,1,1,TP
2,9,9,35,False,False,True,False,Fusce congue eget mauris quis datum,35.0,3,1,1,TP
2,10,10,37,False,False,False,False,malesuada. Integer eget nulla aliquam,2.0,1,0,0,TN
2,11,11,38,True,False,True,False,Etiam lobortis nec sem at aliquet req.,1.0,0,0,0,TN
